,Country/Region,Date,Province/State,Confirmed,Deaths,Recovered,GDP,Unemployment,CPI
200,Mauritius,2021-01-01,0,527.0,10.0,496.0,11484348766.0434,7.719,138.635551188743
201,Mauritius,2022-01-01,0,68552.0,786.0,0.0,12927979286.0453,6.322,153.571800582242
202,Mexico,2021-01-01,0,1437185.0,126507.0,1083768.0,1313069763986.6,4.019,154.676672089174
203,Mexico,2022-01-01,0,3988916.0,299525.0,0.0,1463323889036.56,3.256,166.890369321443
204,Moldova,2021-01-01,0,145258.0,3004.0,131701.0,13691869264.0794,0.794,181.261454671574
205,Moldova,2022-01-01,0,376434.0,10284.0,0.0,14510490660.2516,0.909,233.351098473523
206,Monaco,2021-01-01,0,885.0,3.0,718.0,8626081320.50612,0.909,233.351098473523
207,Monaco,2022-01-01,0,4985.0,39.0,0.0,8784002931.68665,0.909,233.351098473523
208,Mongolia,2021-01-01,0,1220.0,1.0,855.0,15286441737.6686,7.747,218.130243126627
209,Mongolia,2022-01-01,0,693119.0,1986.0,0.0,17146471713.748,6.211,251.172516573854
210,Montenegro,2021-01-01,0,48589.0,684.0,38780.0,5861427505.12493,16.543,119.249434576437
211,Montenegro,2022-01-01,0,171873.0,2414.0,0.0,6229801580.79157,15.288,134.799922927867
212,Morocco,2021-01-01,0,440970.0,7425.0,409638.0,141817797083.468,10.539,113.419774613788
213,Morocco,2022-01-01,0,965420.0,14851.0,0.0,130912558829.84,9.53,120.970176677427
214,Mozambique,2021-01-01,0,18794.0,167.0,16680.0,16168055475.085,3.984,200.799346249151
215,Mozambique,2022-01-01,0,191722.0,2012.0,0.0,18406835494.9468,3.621,221.440317880633
216,Namibia,2021-01-01,0,24545.0,208.0,20727.0,12402486183.6396,20.877,167.298294033139
217,Namibia,2022-01-01,0,148839.0,3645.0,0.0,12567271004.6761,19.748,177.472173637599
218,Nauru,2021-01-01,0,0.0,0.0,0.0,175390280.69162,19.748,177.472173637599
219,Nauru,2022-01-01,0,0.0,0.0,0.0,153824609.470517,19.748,177.472173637599
220,Nepal,2021-01-01,0,261019.0,1864.0,253107.0,36924841394.2605,12.315,206.492683278536
221,Nepal,2022-01-01,0,828773.0,11594.0,0.0,41182939600.67,10.922,222.291008492302
222,Netherlands,2021-01-01,"ArubaBonaire, Sint Eustatius and SabaCuracaoSint Maarten",825217.0,11624.0,9651.0,1029678338329.44,4.21,120.523715504927
223,Netherlands,2022-01-01,"ArubaBonaire, Sint Eustatius and SabaCuracaoSint Maarten",3217646.0,21419.0,0.0,1009398719033.08,3.524,132.577542831667
224,New Zealand,2021-01-01,Cook IslandsNiue,2162.0,26.0,2082.0,253644079784.977,3.776,120.779210747308
225,New Zealand,2022-01-01,Cook IslandsNiue,14257.0,48.0,0.0,246733522841.353,3.297,129.441767205658
226,Nicaragua,2021-01-01,0,4829.0,165.0,4225.0,14144067555.6566,6.064,177.047156631849
227,Nicaragua,2022-01-01,0,13563.0,217.0,0.0,15649934214.9276,4.978,195.57943398714
228,Niger,2021-01-01,0,3403.0,106.0,1828.0,14915002436.069,0.819,116.809397403471
229,Niger,2022-01-01,0,7438.0,276.0,0.0,15433852712.2963,0.552,121.746017087804
230,Nigeria,2021-01-01,0,88587.0,1294.0,74373.0,440838992188.478,5.393,354.296242254442
231,Nigeria,2022-01-01,0,242877.0,3033.0,0.0,472624596925.938,3.827,421.071120344953
232,North Macedonia,2021-01-01,0,83743.0,2510.0,61943.0,14000283827.0154,15.801,118.464166666667
233,North Macedonia,2022-01-01,0,225484.0,7969.0,0.0,13711469681.1535,14.477,135.291666666667
234,Norway,2021-01-01,0,49803.0,436.0,17998.0,503367986030.268,4.369,126.06098995566
235,Norway,2022-01-01,0,396415.0,1305.0,0.0,593726965415.619,3.233,133.327300696769
236,Oman,2021-01-01,0,128867.0,1499.0,121890.0,88191977373.212,1.9,115.379503467114
237,Oman,2022-01-01,0,305489.0,4116.0,0.0,114667360208.062,1.514,118.271078246879
238,Pakistan,2021-01-01,0,484362.0,10258.0,438974.0,348516647445.148,6.338,219.078900139702
239,Pakistan,2022-01-01,0,1296527.0,28941.0,0.0,374787958882.308,5.548,262.618333965596
240,Palau,2021-01-01,0,0.0,0.0,0.0,229858184.814453,5.548,124.584804918221
241,Palau,2022-01-01,0,12.0,0.0,0.0,242333709.716797,5.548,139.974347062763
242,Panama,2021-01-01,0,249733.0,4064.0,197928.0,67406738100.0,10.453,122.136031309897
243,Panama,2022-01-01,0,497808.0,7430.0,0.0,76522511780.6222,8.202,125.628695902787
244,Papua New Guinea,2021-01-01,0,780.0,9.0,661.0,26113333240.2333,2.906,170.839243117812
245,Papua New Guinea,2022-01-01,0,36158.0,590.0,0.0,31603619036.6338,2.689,179.813837244105
246,Paraguay,2021-01-01,0,108349.0,2262.0,81977.0,39950899938.7482,7.311,153.370941306755
247,Paraguay,2022-01-01,0,466101.0,16624.0,0.0,41952910858.0846,6.755,168.348482834994
248,Peru,2021-01-01,0,1015137.0,93231.0,951318.0,226354278280.885,5.097,138.576404455789
249,Peru,2022-01-01,0,2301177.0,202741.0,0.0,246488757636.211,3.85,150.124955005568
250,Philippines,2021-01-01,0,475820.0,9248.0,439895.0,394087359848.11,3.398,137.936373936063
251,Philippines,2022-01-01,0,2847486.0,51545.0,0.0,404353369604.631,2.598,145.965868357034
252,Poland,2021-01-01,0,1305774.0,28956.0,1046281.0,681346077608.607,3.363,123.925480416606
253,Poland,2022-01-01,0,4120248.0,97559.0,0.0,689763329458.441,2.886,141.807246589409
254,Portugal,2021-01-01,0,420629.0,6972.0,338668.0,255534839405.899,6.577,112.010549789253
